Table 1.1.4. Price Indexes for Gross Domestic Product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[Index numbers, 2017=100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 29, 2024 - Next Release Date September 26, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Government consumption expenditures and gross investment,48.682,50.45,51.978,53.203,54.613,56.163,57.314,58.439,59.433,61.422,64.059,65.909,67.61,70.091,73.016,76.726,80.063,83.653,87.213,86.836,89.149,91.861,93.46,95.634,97.578,97.581,97.766,100,103.619,105.235,107.516,113.181,121.153
23,    Federal,54.272,56.224,57.66,58.918,60.539,62.413,63.455,64.436,65.26,66.872,69.115,70.395,72.669,75.849,78.458,81.723,84.327,86.829,89.472,89.279,91.394,93.9,94.783,95.597,97.215,97.609,98.205,100,102.775,104.56,105.599,109.024,115.108
24,        National defense,54.872,56.601,58.247,59.147,60.696,62.422,63.465,64.35,65.152,66.801,69.056,70.365,72.712,76.317,78.965,82.562,85.452,88.071,90.999,90.352,92.273,94.979,95.99,96.459,97.85,98.053,98.419,100,102.642,104.312,105.458,109.181,116.038
25,        Nondefense,53.079,55.584,56.548,58.565,60.335,62.496,63.538,64.698,65.56,67.112,69.339,70.576,72.735,75.221,77.77,80.461,82.573,84.879,87.023,87.637,90.094,92.262,92.927,94.308,96.287,96.968,97.897,100,102.968,104.923,105.806,108.835,113.924
26,    State and local,45.465,47.13,48.736,49.95,51.237,52.602,53.809,55.006,56.078,58.231,61.03,63.128,64.538,66.646,69.726,73.667,77.406,81.603,85.692,85.201,87.642,90.494,92.579,95.654,97.804,97.567,97.505,100,104.126,105.64,108.689,115.792,124.97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convert value,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,Conversion example into 2017 dollars,337.2283204,326.2483076,318.974179,311.5798657,305.0780237,298.806269,293.444451,288.4462841,285.2985649,281.3572675,275.0691111,268.8714122,264.9006623,259.699787,252.9436315,245.2874155,237.8856721,231.6101538,227.3321436,225.8432422,223.1694526,218.6604859,214.6475487,211.0016247,207.3914306,205.5984457,203.6493972,200,195.522534,192.2929005,189.7407193,181.4552713,169.4972711
,formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Convert value,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,Index 2022 base year,50.262,51.953,53.138,54.399,55.559,56.725,57.761,58.762,59.410,60.243,61.620,63.040,63.985,65.267,67.010,69.101,71.252,73.182,74.559,75.051,75.950,77.516,78.965,80.330,81.728,82.441,83.230,84.749,86.689,88.145,89.331,93.410,100.000
,Conversion example into 2022 dollars,397.915929,384.959953,376.3767723,367.6517783,359.9798649,352.5794451,346.2527144,340.3550774,336.6408947,331.9903213,324.5705484,317.2575116,312.5721854,306.4353607,298.4633674,289.4293388,280.6955777,273.2907171,268.2428362,266.4859921,263.3310272,258.0106269,253.2755216,248.9734771,244.7135924,242.597942,240.2981427,235.992,230.7087692,226.8979309,223.8864592,214.1099619,200
